EventCode,LogName,EventCode_Description
4664,"Security,"An attempt was made to create a hard link"
4665,"Security,"An attempt was made to create an application client context."
4666,"Security,"An application attempted an operation"
4667,"Security,"An application client context was deleted"
4668,"Security,"An application was initialized"
4670,"Security,"Permissions on an object were changed"
4671,"Security,"An application attempted to access a blocked ordinal through the TBS"
4672,"Security,"Special privileges assigned to new logon"
4673,"Security,"A privileged service was called"
4674,"Security,"An operation was attempted on a privileged object"
4675,"Security,"SIDs were filtered"
4688,"Security,"A new process has been created"
4689,"Security,"A process has exited"
4690,"Security,"An attempt was made to duplicate a handle to an object"
4691,"Security,"Indirect access to an object was requested"
4692,"Security,"Backup of data protection master key was attempted"
4693,"Security,"Recovery of data protection master key was attempted"
4694,"Security,"Protection of auditable protected data was attempted"
4695,"Security,"Unprotection of auditable protected data was attempted"
4696,"Security,"A primary token was assigned to process"
4697,"Security,"A service was installed in the system"
4698,"Security,"A scheduled task was created"
4699,"Security,"A scheduled task was deleted"
4700,"Security,"A scheduled task was enabled"
4701,"Security,"A scheduled task was disabled"
4702,"Security,"A scheduled task was updated"
4704,"Security,"A user right was assigned"
4705,"Security,"A user right was removed"
4706,"Security,"A new trust was created to a domain"
4707,"Security,"A trust to a domain was removed"
4709,"Security,"IPsec Services was started"
4710,"Security,"IPsec Services was disabled"
4711,"Security,"PAStore Engine (1%)"
4712,"Security,"IPsec Services encountered a potentially serious failure"
4713,"Security,"Kerberos policy was changed"
4714,"Security,"Encrypted data recovery policy was changed"
4715,"Security,"The audit policy (SACL) on an object was changed"
4716,"Security,"Trusted domain information was modified"
4717,"Security,"System security access was granted to an account"
4718,"Security,"System security access was removed from an account"
4719,"Security,"System audit policy was changed"
4720,"Security,"A user account was created"
4722,"Security,"A user account was enabled"
4723,"Security,"An attempt was made to change an account's password"
4724,"Security,"An attempt was made to reset an accounts password"
4725,"Security,"A user account was disabled"
4726,"Security,"A user account was deleted"
4727,"Security,"A security-enabled global group was created"
4728,"Security,"A member was added to a security-enabled global group"
4729,"Security,"A member was removed from a security-enabled global group"
4730,"Security,"A security-enabled global group was deleted"
4731,"Security,"A security-enabled local group was created"
4732,"Security,"A member was added to a security-enabled local group"
4733,"Security,"A member was removed from a security-enabled local group"
4734,"Security,"A security-enabled local group was deleted"
4735,"Security,"A security-enabled local group was changed"
4737,"Security,"A security-enabled global group was changed"
4738,"Security,"A user account was changed"
4739,"Security,"Domain Policy was changed"
4740,"Security,"A user account was locked out"
4741,"Security,"A computer account was created"
4742,"Security,"A computer account was changed"
4743,"Security,"A computer account was deleted"
4744,"Security,"A security-disabled local group was created"
4745,"Security,"A security-disabled local group was changed"
4746,"Security,"A member was added to a security-disabled local group"
4747,"Security,"A member was removed from a security-disabled local group"
4748,"Security,"A security-disabled local group was deleted"
4749,"Security,"A security-disabled global group was created"
4750,"Security,"A security-disabled global group was changed"
4751,"Security,"A member was added to a security-disabled global group"
4752,"Security,"A member was removed from a security-disabled global group"
4753,"Security,"A security-disabled global group was deleted"
4754,"Security,"A security-enabled universal group was created"
4755,"Security,"A security-enabled universal group was changed"
4756,"Security,"A member was added to a security-enabled universal group"
4757,"Security,"A member was removed from a security-enabled universal group"
4758,"Security,"A security-enabled universal group was deleted"
4759,"Security,"A security-disabled universal group was created"
4760,"Security,"A security-disabled universal group was changed"
4761,"Security,"A member was added to a security-disabled universal group"
4762,"Security,"A member was removed from a security-disabled universal group"
4763,"Security,"A security-disabled universal group was deleted"
4764,"Security,"A groups type was changed"
4765,"Security,"SID History was added to an account"
4766,"Security,"An attempt to add SID History to an account failed"
4767,"Security,"A user account was unlocked"
4768,"Security,"A Kerberos authentication ticket (TGT) was requested"
4769,"Security,"A Kerberos service ticket was requested"
4770,"Security,"A Kerberos service ticket was renewed"
4771,"Security,"Kerberos pre-authentication failed"
4772,"Security,"A Kerberos authentication ticket request failed"
4773,"Security,"A Kerberos service ticket request failed"
4774,"Security,"An account was mapped for logon"
4775,"Security,"An account could not be mapped for logon"
4776,"Security,"The domain controller attempted to validate the credentials for an account"
4777,"Security,"The domain controller failed to validate the credentials for an account"
4778,"Security,"A session was reconnected to a Window Station"
4779,"Security,"A session was disconnected from a Window Station"
4780,"Security,"The ACL was set on accounts which are members of administrators groups"
4781,"Security,"The name of an account was changed"
4782,"Security,"The password hash an account was accessed"
4783,"Security,"A basic application group was created"
4784,"Security,"A basic application group was changed"
4785,"Security,"A member was added to a basic application group"
4786,"Security,"A member was removed from a basic application group"
4787,"Security,"A non-member was added to a basic application group"
4788,"Security,"A non-member was removed from a basic application group.."
4789,"Security,"A basic application group was deleted"
4790,"Security,"An LDAP query group was created"
4791,"Security,"A basic application group was changed"
4792,"Security,"An LDAP query group was deleted"
4793,"Security,"The Password Policy Checking API was called"
4794,"Security,"An attempt was made to set the Directory Services Restore Mode administrator password"
4800,"Security,"The workstation was locked"
4801,"Security,"The workstation was unlocked"
4802,"Security,"The screen saver was invoked"
4803,"Security,"The screen saver was dismissed"
4816,"Security,"RPC detected an integrity violation while decrypting an incoming message"
4817,"Security,"Auditing settings on object were changed."
4864,"Security,"A namespace collision was detected"
4865,"Security,"A trusted forest information entry was added"
4866,"Security,"A trusted forest information entry was removed"
4867,"Security,"A trusted forest information entry was modified"
4868,"Security,"The certificate manager denied a pending certificate request"
4869,"Security,"Certificate Services received a resubmitted certificate request"
4870,"Security,"Certificate Services revoked a certificate"
4871,"Security,"Certificate Services received a request to publish the certificate revocation list (CRL)"
4872,"Security,"Certificate Services published the certificate revocation list (CRL)"
4873,"Security,"A certificate request extension changed"
4874,"Security,"One or more certificate request attributes changed."
4875,"Security,"Certificate Services received a request to shut down"
4876,"Security,"Certificate Services backup started"
4877,"Security,"Certificate Services backup completed"
4878,"Security,"Certificate Services restore started"
4879,"Security,"Certificate Services restore completed"
4880,"Security,"Certificate Services started"
4881,"Security,"Certificate Services stopped"
4882,"Security,"The security permissions for Certificate Services changed"
4883,"Security,"Certificate Services retrieved an archived key"
4884,"Security,"Certificate Services imported a certificate into its database"
4885,"Security,"The audit filter for Certificate Services changed"
4886,"Security,"Certificate Services received a certificate request"
4887,"Security,"Certificate Services approved a certificate request and issued a certificate"
4888,"Security,"Certificate Services denied a certificate request"
4889,"Security,"Certificate Services set the status of a certificate request to pending"
4890,"Security,"The certificate manager settings for Certificate Services changed."
4891,"Security,"A configuration entry changed in Certificate Services"
4892,"Security,"A property of Certificate Services changed"
4893,"Security,"Certificate Services archived a key"
4894,"Security,"Certificate Services imported and archived a key"
4895,"Security,"Certificate Services published the CA certificate to Active Directory Domain Services"
4896,"Security,"One or more rows have been deleted from the certificate database"
4897,"Security,"Role separation enabled"
4898,"Security,"Certificate Services loaded a template"
4899,"Security,"A Certificate Services template was updated"
4900,"Security,"Certificate Services template security was updated"
4902,"Security,"The Per-user audit policy table was created"
4904,"Security,"An attempt was made to register a security event source"
4905,"Security,"An attempt was made to unregister a security event source"
4906,"Security,"The CrashOnAuditFail value has changed"
4907,"Security,"Auditing settings on object were changed"
4908,"Security,"Special Groups Logon table modified"
4909,"Security,"The local policy settings for the TBS were changed"
4910,"Security,"The group policy settings for the TBS were changed"
4912,"Security,"Per User Audit Policy was changed"
4928,"Security,"An Active Directory replica source naming context was established"
4929,"Security,"An Active Directory replica source naming context was removed"
4930,"Security,"An Active Directory replica source naming context was modified"
4931,"Security,"An Active Directory replica destination naming context was modified"
4932,"Security,"Synchronization of a replica of an Active Directory naming context has begun"
4933,"Security,"Synchronization of a replica of an Active Directory naming context has ended"
4934,"Security,"Attributes of an Active Directory object were replicated"
4935,"Security,"Replication failure begins"
4936,"Security,"Replication failure ends"
4937,"Security,"A lingering object was removed from a replica"
4944,"Security,"The following policy was active when the Windows Firewall started"
4945,"Security,"A rule was listed when the Windows Firewall started"
4946,"Security,"A change has been made to Windows Firewall exception list. A rule was added"
4947,"Security,"A change has been made to Windows Firewall exception list. A rule was modified"
4948,"Security,"A change has been made to Windows Firewall exception list. A rule was deleted"
4949,"Security,"Windows Firewall settings were restored to the default values"
4950,"Security,"A Windows Firewall setting has changed"
4951,"Security,"A rule has been ignored by Windows Firewall"
4952,"Security,"Parts of a rule have been ignored by Windows Firewall"
4953,"Security,"A rule has been ignored by Windows Firewall because it could not parse the rule"
4954,"Security,"Windows Firewall Group Policy settings has changed. The new settings have been applied"
4956,"Security,"Windows Firewall has changed the active profile"
4957,"Security,"Windows Firewall did not apply a rule"
4958,"Security,"Windows Firewall did not apply a rule"
4960,"Security,"IPsec dropped an inbound packet that failed an integrity check"
4961,"Security,"IPsec dropped an inbound packet that failed a replay check"
4962,"Security,"IPsec dropped an inbound packet that failed a replay check"
4963,"Security,"IPsec dropped an inbound clear text packet that should have been secured"
4964,"Security,"Special groups have been assigned to a new logon"
4965,"Security,"IPsec received a packet from a remote computer with an incorrect Security Parameter Index (SPI)."
4976,"Security,"During Main Mode negotiation Security IPsec received an invalid negotiation packet."
4977,"Security,"During Quick Mode negotiation Security IPsec received an invalid negotiation packet."
4978,"Security,"During Extended Mode negotiation Security IPsec received an invalid negotiation packet."
4979,"Security,"IPsec Main Mode and Extended Mode security associations were established."
4980,"Security,"IPsec Main Mode and Extended Mode security associations were established"
4981,"Security,"IPsec Main Mode and Extended Mode security associations were established"
4982,"Security,"IPsec Main Mode and Extended Mode security associations were established"
4983,"Security,"An IPsec Extended Mode negotiation failed"
4984,"Security,"An IPsec Extended Mode negotiation failed"
4985,"Security,"The state of a transaction has changed"
5024,"Security,"The Windows Firewall Service has started successfully"
5025,"Security,"The Windows Firewall Service has been stopped"
5027,"Security,"The Windows Firewall Service was unable to retrieve the security policy from the local storage"
5028,"Security,"The Windows Firewall Service was unable to parse the new security policy."
5029,"Security,"The Windows Firewall Service failed to initialize the driver"
5030,"Security,"The Windows Firewall Service failed to start"
5031,"Security,"The Windows Firewall Service blocked an application on the network."
5032,"Security,"Windows Firewall was unable to notify the user about blocked connections"
5033,"Security,"The Windows Firewall Driver has started successfully"
5034,"Security,"The Windows Firewall Driver has been stopped"
5035,"Security,"The Windows Firewall Driver failed to start"
5037,"Security,"The Windows Firewall Driver detected critical runtime error. Terminating"
5038,"Security,"Code integrity determined that the image hash of a file is not valid"
5039,"Security,"A registry key was virtualized."
5040,"Security,"A change has been made to IPsec settings. An Authentication Set was added."
5041,"Security,"A change has been made to IPsec settings. An Authentication Set was modified"
5042,"Security,"A change has been made to IPsec settings. An Authentication Set was deleted"
5043,"Security,"A change has been made to IPsec settings. A Connection Security Rule was added"
5044,"Security,"A change has been made to IPsec settings. A Connection Security Rule was modified"
5045,"Security,"A change has been made to IPsec settings. A Connection Security Rule was deleted"
5046,"Security,"A change has been made to IPsec settings. A Crypto Set was added"
5047,"Security,"A change has been made to IPsec settings. A Crypto Set was modified"
5048,"Security,"A change has been made to IPsec settings. A Crypto Set was deleted"
5049,"Security,"An IPsec Security Association was deleted"
5050,"Security,"An attempt to programmatically disable the Windows Firewall"
5051,"Security,"A file was virtualized"
5056,"Security,"A cryptographic self test was performed"
5057,"Security,"A cryptographic primitive operation failed"
5058,"Security,"Key file operation"
5059,"Security,"Key migration operation"
5060,"Security,"Verification operation failed"
5061,"Security,"Cryptographic operation"
5062,"Security,"A kernel-mode cryptographic self test was performed"
5063,"Security,"A cryptographic provider operation was attempted"
5064,"Security,"A cryptographic context operation was attempted"
5065,"Security,"A cryptographic context modification was attempted"
5066,"Security,"A cryptographic function operation was attempted"
5067,"Security,"A cryptographic function modification was attempted"
5068,"Security,"A cryptographic function provider operation was attempted"
5069,"Security,"A cryptographic function property operation was attempted"
5070,"Security,"A cryptographic function property operation was attempted"
5120,"Security,"OCSP Responder Service Started"
5121,"Security,"OCSP Responder Service Stopped"
5122,"Security,"A Configuration entry changed in the OCSP Responder Service"
5123,"Security,"A configuration entry changed in the OCSP Responder Service"
5124,"Security,"A security setting was updated on OCSP Responder Service"
5125,"Security,"A request was submitted to OCSP Responder Service"
5126,"Security,"Signing Certificate was automatically updated by the OCSP Responder Service"
5127,"Security,"The OCSP Revocation Provider successfully updated the revocation information"
5136,"Security,"A directory service object was modified"
5137,"Security,"A directory service object was created"
5138,"Security,"A directory service object was undeleted"
5139,"Security,"A directory service object was moved"
5140,"Security,"A network share object was accessed"
5141,"Security,"A directory service object was deleted"
5142,"Security,"A network share object was added."
5143,"Security,"A network share object was modified"
5144,"Security,"A network share object was deleted."
5145,"Security,"A network share object was checked to see whether client can be granted desired access"
5148,"Security,"The Windows Filtering Platform has detected a DoS attack and entered a defensive mode"
5149,"Security,"The DoS attack has subsided and normal processing is being resumed."
5150,"Security,"The Windows Filtering Platform has blocked a packet."
5151,"Security,"A more restrictive Windows Filtering Platform filter has blocked a packet."
5152,"Security,"The Windows Filtering Platform blocked a packet"
5153,"Security,"A more restrictive Windows Filtering Platform filter has blocked a packet"
5154,"Security,"The Windows Filtering Platform has permitted an application or service to listen"
5155,"Security,"The Windows Filtering Platform has blocked an application or service from listening"
5156,"Security,"The Windows Filtering Platform has allowed a connection"
5157,"Security,"The Windows Filtering Platform has blocked a connection"
5158,"Security,"The Windows Filtering Platform has permitted a bind to a local port"
5159,"Security,"The Windows Filtering Platform has blocked a bind to a local port"
5168,"Security,"Spn check for SMB/SMB2 fails."
5376,"Security,"Credential Manager credentials were backed up"
5377,"Security,"Credential Manager credentials were restored from a backup"
5378,"Security,"The requested credentials delegation was disallowed by policy"
5440,"Security,"The following callout was present when the Windows Filtering Platform Base Filtering Engine started"
5441,"Security,"The following filter was present when the Windows Filtering Platform Base Filtering Engine started"
5442,"Security,"The following provider was present when the Windows Filtering Platform Base Filtering Engine started"
5443,"Security,"The following provider context was present when the Windows Filtering Platform Base Filtering Engine started"
5444,"Security,"The following sub-layer was present when the Windows Filtering Platform Base Filtering Engine started"
5446,"Security,"A Windows Filtering Platform callout has been changed"
5447,"Security,"A Windows Filtering Platform filter has been changed"
5448,"Security,"A Windows Filtering Platform provider has been changed"
5449,"Security,"A Windows Filtering Platform provider context has been changed"
5450,"Security,"A Windows Filtering Platform sub-layer has been changed"
5451,"Security,"An IPsec Quick Mode security association was established"
5452,"Security,"An IPsec Quick Mode security association ended"
5453,"Security,"An IPsec negotiation with a remote computer failed"
5456,"Security,"PAStore Engine applied Active Directory storage IPsec policy on the computer"
5457,"Security,"PAStore Engine failed to apply Active Directory storage IPsec policy on the computer"
5458,"Security,"PAStore Engine applied locally cached copy of Active Directory storage IPsec policy on the computer"
5459,"Security,"PAStore Engine failed to apply locally cached copy of Active Directory storage IPsec policy on the computer"
5460,"Security,"PAStore Engine applied local registry storage IPsec policy on the computer"
5461,"Security,"PAStore Engine failed to apply local registry storage IPsec policy on the computer"
5462,"Security,"PAStore Engine failed to apply some rules of the active IPsec policy on the computer"
5463,"Security,"PAStore Engine polled for changes to the active IPsec policy and detected no changes"
5464,"Security,"PAStore Engine applied changes to IPsec Services"
5465,"Security,"PAStore Engine received a control for forced reloading of IPsec policy and processed the control successfully"
5466,"Security,"PAStore Engine determined that Active Directory cannot be reached and will use the cached copy of the Active Directory IPsec policy instead"
5467,"Security,"PAStore Engine found no changes to the IPSec policy"
5468,"Security,"PAStore Engine found changes to the policy and applied those changes"
5471,"Security,"PAStore Engine loaded local storage IPsec policy on the computer"
5472,"Security,"PAStore Engine failed to load local storage IPsec policy on the computer"
5473,"Security,"PAStore Engine loaded directory storage IPsec policy on the computer"
5474,"Security,"PAStore Engine failed to load directory storage IPsec policy on the computer"
5477,"Security,"PAStore Engine failed to add quick mode filter"
5478,"Security,"IPsec Services has started successfully"
5479,"Security,"IPsec Services has been shut down successfully"
5480,"Security,"IPsec Services failed to get the complete list of network interfaces on the computer"
5483,"Security,"IPsec Services failed to initialize RPC server. IPsec Services could not be started"
5484,"Security,"IPsec Services has experienced a critical failure and has been shut down"
5485,"Security,"IPsec Services failed to process some IPsec filters on a plug-and-play event for network interfaces"
5632,"Security,"A request was made to authenticate to a wireless network"
5633,"Security,"A request was made to authenticate to a wired network"
5712,"Security,"A Remote Procedure Call (RPC) was attempted"
5888,"Security,"An object in the COM+ Catalog was modified"
5889,"Security,"An object was deleted from the COM+ Catalog"
5890,"Security,"An object was added to the COM+ Catalog"
6144,"Security,"Security policy in the group policy objects has been applied successfully"
6145,"Security,"One or more errors occured while processing security policy in the group policy objects"
6272,"Security,"Network Policy Server granted access to a user"
6273,"Security,"Network Policy Server denied access to a user"
6274,"Security,"Network Policy Server discarded the request for a user"
6275,"Security,"Network Policy Server discarded the accounting request for a user"
6276,"Security,"Network Policy Server quarantined a user"
6277,"Security,"Network Policy Server granted access to a user but put it on probation because the host did not meet the defined health policy"
6278,"Security,"Network Policy Server granted full access to a user because the host met the defined health policy"
6279,"Security,"Network Policy Server locked the user account due to repeated failed authentication attempts"
6280,"Security,"Network Policy Server unlocked the user account"
6281,"Security,"Code Integrity determined that the page hashes of an image file are not valid..."
6400,"Security,"BranchCache: Received an incorrectly formatted response while discovering availability of content."
6401,"Security,"BranchCache: Received invalid data from a peer. Data discarded."
6402,"Security,"BranchCache: The message to the hosted cache offering it data is incorrectly formatted."
6403,"Security,"BranchCache: The hosted cache sent an incorrectly formatted response to the client's message to offer it data."
6404,"Security,"BranchCache: Hosted cache could not be authenticated using the provisioned SSL certificate."
6405,"Security,"BranchCache: Multiple instances of another Event ID"
6406,"Security,"A application registered to Windows Firewall to control filtering for the following:"
6407,"Security,"Unknown - see event"
6408,"Security,"Registered product failed and Windows Firewall is now controlling the filtering."
16650,"Directory Service,"Account Identifier Allocator failed to initialize properly (KB839879)"
36886,"Directory Service,"No default server credentials available"
